Quiz Name,Number of Questions,Quiz File Name,Quiz Leaderboard File Name
General Quiz,6,General_Quiz.txt,General_Quiz_Leaderboard.csv
Loch Ness Monster Quiz,5,Loch_Ness_Monster_Quiz.txt,Loch_Ness_Monster_Quiz_Leaderboard.csv
Mothman Quiz,9,Mothman_Quiz.txt,Mothman_Quiz_Leaderboard.csv
Skinwalker Quiz,10,Skinwalker_Quiz.txt,Skinwalker_Quiz_Leaderboard.csv
